# source_file=Ens1.csv
# note=stationary-guard: a->0 and v->0 when stationary
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,ax_lin_mps2_int,ay_lin_mps2_int,az_lin_mps2_int,gx_rads,gy_rads,gz_rads,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.909,202744.0,0.025000000000000022,0.5721200659831831,-0.00027700003194669254,-0.011072001276945053,-0.8200950945823928,1.0224842792624558,-0.751934779134445,-110.20541229509075,0.007905,0.027639,0.040322,0.001333526112631528,0.008870188911925585,0.003261701060283491,0.0032573361935246906,-0.005433356036691526,0.005295657153508599,0.0,0.0,0.0,-0.002131,0.004261,-0.002131,0.9334160420085565,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.934,202769.0,0.025000000000000022,0.5721439106874842,-7.499998829239022e-05,-0.008530998668298415,-0.8201088719797848,0.7968697972666761,-0.5663742338014617,-110.20130356335835,0.005707,-0.010538,0.049539,0.002485728907661033,-0.0003248968995019884,0.009219042528409145,0.004375176433202427,-0.014514445658489998,0.01116530650937195,0.0,0.0,0.0,-0.009587,0.010653,0.001065,0.43482141452576234,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.961,202796.0,0.026999999999999913,0.5727660233854646,-8.900000363378123e-05,-0.008383000342269529,-0.8196760334665535,0.7816180210246203,-0.5585795516647492,-110.11432602494465,0.030612,-0.03385,0.047648,0.01657455392428703,-0.01751978942235822,0.011133685944945846,0.018308701547675277,-0.03144263233590502,0.012969935043750994,0.0,0.0,0.0,-0.013848,0.006392,0.001065,0.8147839307683646,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.99,202825.0,0.029000000000000026,0.572757862611156,0.000705999830650076,-0.010596997458072032,-0.819655803387137,1.041786989099052,-0.6292161915841831,-110.11567521991859,-0.001622,0.001025,0.041701,0.005156515364452014,-0.006087506183856242,0.00870394189967134,0.006828451569312179,-0.019829688367834882,0.010445030310059531,0.0,0.0,0.0,-0.002131,0.001065,0.001065,0.5697818084647697,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.016,202851.0,0.026000000000000023,0.5727791667011002,-0.0006290001830636109,-0.008612002506428962,-0.8196642385542949,0.7676798447294971,-0.6243466550130801,-110.11268986995289,0.035687,-0.013631,0.031924,0.020284511867079344,-0.009124578413447229,0.0024718301493076595,0.021778557743704657,-0.022681494950859724,0.004178785649720817,0.0,0.0,0.0,-0.001065,-0.003196,0.0,0.6330450239133875,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.041,202876.0,0.02499999999999991,0.5727468156700583,0.0011569996276370848,-0.010383996658066972,-0.8196657362029203,1.0513830069650385,-0.5728582560617547,-110.11690050172905,-0.001247,-0.000607,0.032079,0.007870036686072904,-0.0036946844573414114,-0.00030112745755883586,0.009291110352629436,-0.01711716311006174,0.001394872737988429,0.0,0.0,0.0,0.010653,0.005326,-0.001065,0.5580656624871325,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.063,202898.0,0.02200000000000002,0.5727817326126621,-0.0005839997273758509,-0.008971995811671464,-0.8196586173650044,0.8044491352097728,-0.643751762578577,-110.11241644492263,0.007483,-0.002168,0.043608,0.006610896159208332,-0.0020338544451613313,0.004128295451757748,0.007976837880141977,-0.015350239856202865,0.005784317315976028,0.0,0.0,0.0,0.008522,0.011718,0.001065,0.22322094463638475,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.089,202924.0,0.026000000000000023,0.5731448790630044,-0.0006029998727634223,-0.008776998148000923,-0.8194068271002612,0.7846035758069544,-0.633084693409047,-110.0615925293778,0.019749,-0.013814,0.033046,0.012460371659157414,-0.0073311038524717514,0.0009357751671432526,0.013714293101701603,-0.020480204071014137,0.0025707983879053424,0.0,0.0,0.0,-0.015979,0.008522,0.003196,0.32078313280544707,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.113,202948.0,0.02400000000000002,0.5731359801313819,0.000286999990050715,-0.010881999622759165,-0.8193879715946873,1.040746130913704,-0.6877608113071918,-110.06310151812845,-0.000679,1.9e-05,0.049031,0.004596989438866548,-0.0026063910640618648,0.007710729029647078,0.005807126181529865,-0.01563758665693711,0.009275814258575238,0.0,0.0,0.0,-0.007457,0.003196,0.001065,0.4767720417261564,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.139,202974.0,0.026000000000000023,0.5731187784856231,0.0022119991450470114,-0.01225499526335946,-0.819377683304851,1.2961206940178063,-0.5971594780661682,-110.06454914359533,-0.044296,0.000409,0.029803,-0.02264600288410188,-1.048893079925355e-05,0.0008769632161901488,-0.021262193548703852,-0.012936021279189304,0.0024222630591558734,0.0,0.0,0.0,-0.001065,-0.001065,0.001065,1.0789936757708278,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
1.159,202994.0,0.020000000000000018,0.5731657346056983,0.0004939997712621038,-0.010532995122882065,-0.8193716206043978,1.021540079588977,-0.6454371419656021,-110.0587407979894,-0.00924,0.001745,0.047549,-0.01738931064692117,0.001677092066290465,0.0063851569319640636,-0.015905563707334806,-0.011178205545256992,0.007880939372457986,0.0,0.0,0.0,-0.004261,-0.001065,0.002131,0.39236636739567393,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
