# source_file=20251214_154520_glider_ble.csv
# total_time_s=12.920000
# distance_path_m=0.000203
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
94.811,94811.0,0.025000000000005684,0.9993851802401328,0.01151000207584057,-0.0033580006056188215,-0.032947005942026,1.3309594083105685,-0.34110853464671126,-3.780365805240658,0.311478,-0.046653,0.024448,0.043561413896454154,0.007460440778509388,-0.003110874179026423,11.839122962090824,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.831,94831.0,0.01999999999999602,0.9993931643267336,0.01122400184552349,-0.004239000697004105,-0.032701005376912305,1.301430881263898,-0.4434041077669286,-3.753233284171024,0.661518,-0.006299,0.007578,0.3310379019233137,0.0023397409264063074,-0.011285546922986875,14.381913816468952,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.9,94900.0,0.06900000000000261,0.9994792707614699,0.012216003309346284,-0.004983001349907706,-0.029447007977269162,1.4161411018261716,-0.5294986691614965,-3.38170426186165,-0.138982,0.146842,0.048601,-0.025250877511081182,0.11314696365779395,0.012580223526769616,5.418613822083681,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.925,94925.0,0.024999999999991473,0.9995303971684799,0.011791004685215597,-0.005730002276845507,-0.027697011005547993,1.3689113203426906,-0.6188907775748391,-3.1819161656637416,0.215126,-0.065802,0.011636,0.09871426911506909,0.02090526416435977,-0.002660189351115675,6.210720909934345,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.945,94945.0,0.01999999999999602,0.9995731456168269,0.010942001594019965,-0.005410000788123562,-0.02654300386675854,1.2699513745898714,-0.5864047999099069,-3.0486872612348876,-0.031345,-0.114682,0.024047,0.0361306222558201,-0.041229019009273,-0.0033385322637372533,4.4096037658769776,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.967,94967.0,0.02200000000000557,0.9995794966641867,0.010336005135683154,-0.005914002938509112,-0.026439013136835037,1.2020030602195946,-0.646108669488433,-3.0370333791290145,0.065695,-0.095805,0.065131,0.048864298214511305,-0.06668229161009831,0.0164860892104906,1.5765791022063578,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.992,94992.0,0.025000000000005684,0.9995535925735425,0.010869995569298312,-0.0055009977577470115,-0.027279988880446915,1.262420581976817,-0.5961170431540298,-3.1332439796553206,0.110634,-0.157407,0.039154,0.07929123330693266,-0.1127201416885964,0.01361156703921541,2.210355590100544,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.016,95016.0,0.02400000000000091,0.9995373037254485,0.011465003483825276,-0.0048250014661541185,-0.027757008434412405,1.3287047175585511,-0.5161886433142755,-3.187359224842817,-0.010241,0.008598,0.018696,0.031429793055266365,-0.048974277267406455,0.001763546038984154,3.357885695815622,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.038,95038.0,0.02199999999999136,0.9995201239360052,0.011676001447771728,-0.005712000708262428,-0.028117003486382124,1.3559381318503427,-0.6166251269222107,-3.2299650817468546,0.238048,0.023041,-0.060362,0.1312331139241362,-0.012173850216329891,-0.04263448808355868,5.239345686853406,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.063,95063.0,0.025000000000005684,0.9995026992781688,0.011341996587516985,-0.006486998048247459,-0.028698991365292713,1.3206013617261398,-0.7057033965868316,-3.297527932782436,0.296809,-0.071329,0.024969,0.21602429717858995,-0.04167843370606531,-0.021975837428786858,3.68496296892442,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
