# source_file=20251214_180907_glider_ble.csv
# note=ZUPT + bias tracking; rotate accel to world if ACCEL_IN_BODY_FRAME
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_body,ay_lin_mps2_body,az_lin_mps2_body,ax_lin_mps2_world_raw,ay_lin_mps2_world_raw,az_lin_mps2_world_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
2840.52,2840520.0,0.021999999999934516,-0.9508877542792255,-0.010829997201399126,0.015537995984795902,0.3089559201620931,1.7308952906297432,-1.309769352068572,-36.019106127386536,0.013536,0.012164,0.030436,0.01698532992218809,0.0015464675456388242,0.0310908876290901,-2.0022861916639574,1.0951110262143715,0.514677015884108,0.3418366567987321,0,0,-45.866762726880374,23.721629409964887,0.0,51.63792816242392,-573.0949603335328,298.41219034919646,0.0,646.5276701206617
2840.548,2840548.0,0.027999999999792635,-0.9514198613886018,-0.009496998616391868,0.015086997801990534,0.3073799552181249,1.5674242497261728,-1.3104552462098051,-35.826620446284075,0.069125,0.042263,0.026974,0.07980677482000625,-0.00641878069399361,0.029693457481930773,-1.9696378987358196,1.0906454607581917,0.5176883764471294,1.1817708728624123,0,0,-45.917933900577495,23.748110877818238,0.0,51.69554549439393,-574.3799460863077,299.0767667132205,0.0,647.9735321091989
2840.573,2840573.0,0.02500000000009095,-0.9513826603150658,-0.011358995944345055,0.016600994072724033,0.30735389026131094,1.8239123653733598,-1.409924003856479,-35.82960601175961,0.015277,0.008351,0.008631,0.0169300545343171,-0.0022674941371862538,0.009265625440458678,-1.9886830092887264,1.090920502512254,0.5082707442283703,0.8499258137446538,0,0,-45.962806241198656,23.771643406408298,0.0,51.746213270223016,-575.5284553380841,299.67076364177547,0.0,649.2659207465634
2840.598,2840598.0,0.02500000000009095,-0.9513377508480052,-0.013012996591942183,0.01851599515072631,0.307317919514523,2.0718951504461613,-1.5604530233723999,-35.83303972924253,-0.022927,-0.009883,0.026916,-0.025518247234951677,0.005044094152129383,0.025906915027465838,-2.019984585135771,1.0948806480456514,0.5125004077037014,1.2733335501815044,0,0,-46.008154709583636,23.79518281104221,0.0,51.79730711911481,-576.6780923499731,300.26534896949573,0.0,650.5595760783237
2840.623,2840623.0,0.02500000000009095,-0.9513867982213468,-0.012117997429906316,0.016038996598305613,0.3073419348161633,1.8868321180123875,-1.3219218388040075,-35.82748134545353,-0.028817,-0.004494,0.016368,-0.026605922791271257,0.013003722871590944,0.015542040178296256,-2.0354628650532027,1.1009353595043236,0.509086777971517,0.6786923285218505,0,0,-46.0542857173648,23.818821219314458,0.0,51.84914152822915,-577.8288728553141,300.86052401987735,0.0,651.8545087563064
2840.649,2840649.0,0.02599999999983993,-0.951829018544009,-0.010392000202462146,0.015379000299621377,0.3060670059629505,1.6735321141905872,-1.3130511990498204,-35.670264173130285,0.041085,-0.004043,0.023767,0.0301667762686315,-0.02748227067207295,0.02457404670104725,-2.012685388611948,1.0822744307800143,0.5122489695838365,1.139035165834724,0,0,-46.10266440073459,23.84356258641528,0.0,51.903479090125195,-579.026913206842,301.48013500934803,0.0,653.202586436032
2840.669,2840669.0,0.01999999999998181,-0.9517968143715613,-0.01003499804287954,0.017866996515408944,0.3060439403124091,1.7220204794092635,-1.5969943154991395,-35.67370103143749,0.010612,-0.002366,0.014645,0.006651727349950445,-0.00822808668623562,0.014857376543175899,-2.0143685681854775,1.0836482556119598,0.5089958173504445,0.19559836144040518,0,0,-46.13942322302888,23.86222118868768,0.0,51.94470112929356,-579.9493340830787,301.9571928470986,0.0,654.2406560178335
2840.698,2840698.0,0.028999999999996362,-0.9517428218480364,-0.012072997740116128,0.01890399646145575,0.30607594270717997,1.9809394525947361,-1.638480247573081,-35.683414428093016,-0.007957,-0.00379,0.013089,-0.009234538475666474,0.0014113591393342879,0.012717359573482741,-2.024345919697367,1.0899269258737827,0.5057232717387145,0.42187340272920115,0,0,-46.19277232756327,23.88931600290281,0.0,52.00453474835289,-581.2881509185621,302.64959013637656,0.0,655.7470523505829
2840.723,2840723.0,0.02500000000009095,-0.9517836070043468,-0.012101995003032837,0.016594993147854068,0.30608187361744316,1.902886164670894,-1.3856204759187882,-35.677313915612864,0.01144,-0.003299,0.026664,0.006329486967978099,-0.00969335608291768,0.026808624350606994,-2.020291553484335,1.0866892790981688,0.5117593032768832,0.31838069982290046,0,0,-46.23901236870847,23.91283056812076,0.0,52.05640912138702,-582.4435482272697,303.24711696851654,0.0,657.0471657192965
2840.742,2840742.0,0.01900000000023283,-0.9518336069413449,-0.010232995774295501,0.015081993771907038,0.306072873607539,1.6457515344278513,-1.286227093110547,-35.67003967467671,0.019379,0.013126,0.019316,0.0227076857162376,-0.000831366605561823,0.020115049390437387,-2.0111569913665006,1.0893831445554474,0.5112111672998454,0.5020666134125719,0,0,-46.27407776702108,23.930640122397822,0.0,52.095736964323976,-583.32242258357,303.70162994008206,0.0,658.036237492615
