raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"121911,0.656422,-0.054674,-0.073730,0.748789,0.015381,-0.181641,0.987427,-0.003196,0.003196,0.001065,0.000000,0.000000,0.000000"
"121935,0.656353,-0.055402,-0.074412,0.748729,0.014771,-0.185181,0.985840,-0.003196,0.004261,0.000000,0.000000,0.000000,0.000000"
"121955,0.656414,-0.054781,-0.073654,0.748796,0.014771,-0.183716,0.987915,0.000000,0.003196,0.001065,0.000000,0.000000,0.000000"
"121982,0.656369,-0.055224,-0.074535,0.748716,0.015259,-0.184937,0.987183,-0.002131,0.003196,0.000000,0.000000,0.000000,0.000000"
"122008,0.655925,-0.055270,-0.074256,0.749129,0.015137,-0.182251,0.986816,0.003196,0.003196,0.000000,-33.000000,-27.000000,15.000000"
"122030,0.655900,-0.055528,-0.075178,0.749039,0.015259,-0.185669,0.986450,0.003196,0.004261,-0.001065,0.000000,0.000000,0.000000"
"122052,0.655945,-0.055142,-0.074297,0.749117,0.014526,-0.182861,0.986084,-0.004261,0.002131,0.000000,0.000000,0.000000,0.000000"
"122076,0.656035,-0.054195,-0.074604,0.749076,0.015503,-0.184082,0.986450,0.005326,0.002131,-0.001065,0.000000,0.000000,0.000000"
"122100,0.655585,-0.054245,-0.074425,0.749484,0.015259,-0.185303,0.987671,-0.003196,0.003196,-0.001065,-33.000000,-26.000000,10.000000"
"122125,0.655552,-0.054669,-0.073502,0.749574,0.015259,-0.182983,0.987305,0.002131,0.004261,0.001065,0.000000,0.000000,0.000000"
"122150,0.655505,-0.055127,-0.074352,0.749497,0.015015,-0.184570,0.984741,0.002131,0.003196,0.000000,0.000000,0.000000,0.000000"
"122175,0.655601,-0.054202,-0.074103,0.749506,0.015259,-0.183960,0.986938,-0.003196,0.005326,-0.001065,0.000000,0.000000,0.000000"
"122201,0.655129,-0.054227,-0.073962,0.749930,0.015259,-0.184326,0.985474,-0.001065,0.004261,0.000000,-36.000000,-25.000000,7.000000"
"122224,0.655077,-0.054746,-0.074771,0.749858,0.015869,-0.184082,0.986450,0.003196,0.003196,0.000000,0.000000,0.000000,0.000000"
"122245,0.654989,-0.055678,-0.075070,0.749835,0.014404,-0.187256,0.986572,0.003196,0.003196,0.000000,0.000000,0.000000,0.000000"
"122267,0.655068,-0.054890,-0.074570,0.749875,0.015381,-0.184692,0.987061,-0.009587,0.001065,0.000000,0.000000,0.000000,0.000000"
"122292,0.654618,-0.054895,-0.074377,0.750287,0.014648,-0.181396,0.990112,0.005326,0.002131,0.000000,-34.000000,-27.000000,9.000000"
"122313,0.654561,-0.055520,-0.075176,0.750211,0.015137,-0.185181,0.986206,-0.007457,0.004261,-0.001065,0.000000,0.000000,0.000000"
"122336,0.654629,-0.054867,-0.074439,0.750273,0.015259,-0.182373,0.987671,0.001065,0.002131,0.000000,0.000000,0.000000,0.000000"
"122356,0.654611,-0.054960,-0.075409,0.750185,0.015381,-0.184570,0.987061,0.000000,0.003196,0.001065,0.000000,0.000000,0.000000"
"122411,0.654157,-0.054995,-0.075258,0.750593,0.015747,-0.184204,0.987183,-0.003196,0.003196,0.000000,-33.000000,-26.000000,8.000000"
"122433,0.654223,-0.054376,-0.074471,0.750659,0.015869,-0.182617,0.986328,0.004261,0.004261,0.000000,0.000000,0.000000,0.000000"
"122453,0.654171,-0.054897,-0.075295,0.750584,0.016235,-0.185669,0.985718,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000"
"122474,0.654221,-0.054461,-0.074439,0.750659,0.015503,-0.182861,0.987671,-0.004261,0.002131,0.000000,0.000000,0.000000,0.000000"
"122491,0.653764,-0.054478,-0.074250,0.751073,0.015259,-0.185059,0.987793,0.004261,0.003196,0.000000,-34.000000,-26.000000,9.000000"
"122512,0.653708,-0.055036,-0.075085,0.750999,0.015381,-0.183960,0.986572,-0.005326,0.002131,0.000000,0.000000,0.000000,0.000000"
"122532,0.653768,-0.054487,-0.074272,0.751068,0.015259,-0.182617,0.987549,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000"
"122552,0.653691,-0.055292,-0.074846,0.751019,0.014893,-0.185425,0.986572,-0.001065,0.003196,0.000000,0.000000,0.000000,0.000000"
"122574,0.653776,-0.054437,-0.074385,0.751053,0.015137,-0.184692,0.986450,-0.001065,0.003196,0.000000,0.000000,0.000000,0.000000"
"122595,0.653333,-0.054468,-0.074212,0.751453,0.015259,-0.185059,0.986450,0.001065,0.003196,-0.001065,-33.000000,-27.000000,9.000000"
"122646,0.653395,-0.053935,-0.073344,0.751523,0.015137,-0.183228,0.987061,0.007457,0.003196,-0.001065,0.000000,0.000000,0.000000"
"122674,0.653343,-0.054419,-0.074208,0.751449,0.015503,-0.184204,0.986450,-0.003196,0.004261,0.001065,0.000000,0.000000,0.000000"
"122696,0.652895,-0.054447,-0.074047,0.751851,0.015503,-0.185791,0.986084,0.001065,0.003196,0.000000,-32.000000,-26.000000,8.000000"
"122717,0.652953,-0.053787,-0.074775,0.751777,0.016113,-0.183472,0.988037,-0.005326,0.003196,0.000000,0.000000,0.000000,0.000000"
"122745,0.652878,-0.054661,-0.074283,0.751828,0.015259,-0.183838,0.987183,0.007457,0.003196,0.000000,0.000000,0.000000,0.000000"
"122764,0.652912,-0.054282,-0.075195,0.751735,0.016235,-0.184326,0.986206,-0.004261,0.003196,-0.001065,0.000000,0.000000,0.000000"
"122780,0.652955,-0.053857,-0.074316,0.751815,0.016235,-0.183228,0.987793,-0.001065,0.001065,0.001065,0.000000,0.000000,0.000000"
