mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.006500000000000001,0.019500000000000003,0.75,0.026000000000000002,0.015315264186250243,9.06511361054041
0.1,0.006500000000000001,0.019500000000000003,0.775,0.026000000000000002,0.015825772992458586,8.917703565163727
0.1,0.006500000000000001,0.019500000000000003,0.8,0.026000000000000002,0.016336281798666925,8.7772585112753
0.1,0.006500000000000001,0.019500000000000003,0.825,0.026000000000000002,0.01684679060487527,8.64324669491132
0.1,0.006500000000000001,0.019500000000000003,0.8500000000000001,0.026000000000000002,0.01735729941108361,8.515191516550512
0.1,0.006500000000000001,0.019500000000000003,0.875,0.026000000000000002,0.01786780821729195,8.392664387360037
0.1,0.006500000000000001,0.019500000000000003,0.9,0.026000000000000002,0.01837831702350029,8.275278684733474
0.1,0.006500000000000001,0.019500000000000003,0.925,0.026000000000000002,0.018888825829708633,8.162684612638753
0.1,0.006500000000000001,0.019500000000000003,0.95,0.026000000000000002,0.019399334635916973,8.054564810943429
0.1,0.006500000000000001,0.019500000000000003,0.9750000000000001,0.026000000000000002,0.01990984344212532,7.950630588053763
0.1,0.006500000000000001,0.019500000000000003,1.0,0.026000000000000002,0.02042035224833366,7.850618674920068
0.1,0.006500000000000001,0.019500000000000003,1.025,0.026000000000000002,0.020930861054541994,7.754288417228537
0.1,0.006500000000000001,0.019500000000000003,1.05,0.026000000000000002,0.02144136986075034,7.661419337545611
0.1,0.006500000000000001,0.019500000000000003,1.0750000000000002,0.026000000000000002,0.021951878666958684,7.57180901115439
0.1,0.006500000000000001,0.019500000000000003,1.1,0.026000000000000002,0.022462387473167027,7.485271208969089
0.1,0.006500000000000001,0.019500000000000003,1.125,0.026000000000000002,0.022972896279375363,7.401634268727639
0.1,0.006500000000000001,0.019500000000000003,1.15,0.026000000000000002,0.023483405085583702,7.320739662024166
0.1,0.006500000000000001,0.019500000000000003,1.175,0.026000000000000002,0.02399391389179205,7.242440729948136
0.1,0.006500000000000001,0.019500000000000003,1.2000000000000002,0.026000000000000002,0.02450442269800039,7.166601564375064
0.1,0.006500000000000001,0.019500000000000003,1.225,0.026000000000000002,0.025014931504208734,7.093096015485834
0.1,0.006500000000000001,0.019500000000000003,1.25,0.026000000000000002,0.02552544031041707,7.021806809020239
0.1,0.006500000000000001,0.019500000000000003,1.275,0.026000000000000002,0.02603594911662541,6.952624759208272
0.1,0.006500000000000001,0.019500000000000003,1.3,0.026000000000000002,0.026546457922833753,6.885448065360171
0.1,0.006500000000000001,0.019500000000000003,1.3250000000000002,0.026000000000000002,0.0270569667290421,6.820181681805332
0.1,0.006500000000000001,0.019500000000000003,1.35,0.026000000000000002,0.02756747553525044,6.75673675230897
0.1,0.006500000000000001,0.019500000000000003,1.375,0.026000000000000002,0.028077984341458775,6.695030101310768
0.1,0.006500000000000001,0.019500000000000003,1.4,0.026000000000000002,0.02858849314766712,6.634983775359846
0.1,0.006500000000000001,0.019500000000000003,1.425,0.026000000000000002,0.029099001953875464,6.5765246289960855
0.1,0.006500000000000001,0.019500000000000003,1.4500000000000002,0.026000000000000002,0.029609510760083807,6.5195839500746935
0.1,0.006500000000000001,0.019500000000000003,1.475,0.026000000000000002,0.030120019566292146,6.464097120169653
0.1,0.006500000000000001,0.019500000000000003,1.5,0.026000000000000002,0.030630528372500486,6.410003306239592
0.1,0.007,0.021,0.5,0.028,0.010995574287564275,10.698589870546016
0.1,0.007,0.021,0.525,0.028,0.011545353001942489,10.440754635112295
0.1,0.007,0.021,0.55,0.028,0.012095131716320706,10.20070519924747
0.1,0.007,0.021,0.575,0.028,0.012644910430698916,9.976486495675276
0.1,0.007,0.021,0.6,0.028,0.013194689145077132,9.766431675990548
0.1,0.007,0.021,0.625,0.028,0.013744467859455345,9.569109685572627
0.1,0.007,0.021,0.65,0.028,0.014294246573833559,9.383284041239335
0.1,0.007,0.021,0.675,0.028,0.014844025288211772,9.207880088117353
0.1,0.007,0.021,0.7,0.028,0.015393804002589986,9.041958748687376
0.1,0.007,0.021,0.725,0.028,0.0159435827169682,8.884695295578556
0.1,0.007,0.021,0.75,0.028,0.016493361431346415,8.735362050048824
0.1,0.007,0.021,0.775,0.028,0.01704314014572463,8.593314176023043
0.1,0.007,0.021,0.8,0.028,0.017592918860102842,8.457977935732844
0.1,0.007,0.021,0.825,0.028,0.018142697574481056,8.328840918237237
0.1,0.007,0.021,0.8500000000000001,0.028,0.018692476288859273,8.205443860745914
0.1,0.007,0.021,0.875,0.028,0.019242255003237483,8.087373764725562
0.1,0.007,0.021,0.9,0.028,0.019792033717615697,7.974258071310522
0.1,0.007,0.021,0.925,0.028,0.02034181243199391,7.865759708610129
0.1,0.007,0.021,0.95,0.028,0.020891591146372124,7.761572860748679
0.1,0.007,0.021,0.9750000000000001,0.028,0.02144136986075034,7.661419337545611
0.1,0.007,0.021,1.0,0.028,0.02199114857512855,7.565045446596796
0.1,0.007,0.021,1.025,0.028,0.022540927289506765,7.472219287602868
0.1,0.007,0.021,1.05,0.028,0.023090706003884978,7.382728403192782
0.1,0.007,0.021,1.0750000000000002,0.028,0.023640484718263195,7.296377732028528
0.1,0.007,0.021,1.1,0.028,0.024190263432641412,7.212987819272758
0.1,0.007,0.021,1.125,0.028,0.024740042147019622,7.132393247030677
