raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"123088,0.183454,0.003297,0.002457,0.983020,0.012451,-0.002086,1.009396,-0.001309,0.002153,0.010217,-51.000000,-23.000000,25.000000"
"123122,0.183379,0.008296,-0.008109,0.982974,0.011454,-0.001625,1.008220,-0.015292,0.004098,0.000977,0.000000,0.000000,0.000000"
"123165,0.183108,0.004413,0.004008,0.983075,0.012495,-0.000384,1.011452,-0.002712,-0.009221,0.016438,0.000000,0.000000,0.000000"
"123207,0.183178,0.004702,0.003416,0.983063,0.010817,-0.002747,1.008269,-0.002991,-0.012304,0.013634,-53.000000,-22.000000,23.000000"
"123243,0.182913,0.006128,-0.007881,0.983078,0.011488,-0.002157,1.007930,0.008033,0.003567,0.010558,0.000000,0.000000,0.000000"
"123285,0.183151,0.006161,-0.007681,0.983035,0.011847,-0.002095,1.009686,0.004462,-0.000352,0.014587,-54.000000,-24.000000,28.000000"
"123319,0.182872,0.004016,0.003099,0.983124,0.011570,-0.004528,1.009020,-0.020921,-0.016325,0.017928,0.000000,0.000000,0.000000"
"123362,0.182735,0.004108,-0.008254,0.983119,0.008778,-0.002887,1.006490,0.008960,-0.002230,0.004538,0.000000,0.000000,0.000000"
"123406,0.183012,0.003979,-0.008081,0.983069,0.011971,-0.003556,1.008386,0.001570,0.013312,0.013000,-54.000000,-24.000000,24.000000"
"123439,0.182976,0.006843,0.002983,0.983089,0.011693,-0.004270,1.008958,-0.005854,0.006167,0.005642,0.000000,0.000000,0.000000"
"123483,0.183810,0.006840,0.002225,0.982935,0.011531,-0.001550,1.009105,-0.003796,0.000379,0.007717,-54.000000,-26.000000,26.000000"
"123515,0.183537,0.003984,-0.008964,0.982964,0.012124,-0.002938,1.008417,-0.001684,0.002060,0.010624,0.000000,0.000000,0.000000"
"123555,0.183376,0.007160,0.003386,0.983011,0.012094,-0.003118,1.010009,-0.009275,-0.000755,0.011393,0.000000,0.000000,0.000000"
"123600,0.183375,0.007186,0.002893,0.983012,0.011537,-0.002885,1.009092,-0.000623,-0.005407,0.016372,-53.000000,-22.000000,23.000000"
"123637,0.183081,0.003468,-0.008196,0.983058,0.011309,-0.004461,1.008413,-0.009578,-0.001801,0.012055,0.000000,0.000000,0.000000"
"123677,0.182916,0.007909,0.003385,0.983091,0.012268,-0.001726,1.009809,-0.004654,-0.003279,0.011732,0.000000,0.000000,0.000000"
"123718,0.183228,0.007863,0.003013,0.983034,0.011676,-0.003807,1.008047,0.010817,-0.000453,0.014833,-52.000000,-23.000000,22.000000"
