raw_line
=== RAM LOG DUMP BEGIN ===
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"123409,0.825776,-0.373092,0.181624,0.381980,0.244263,0.218018,1.265503,0.340885,0.362190,-0.470847,-26.000000,-26.000000,38.000000"
"123435,0.827575,-0.372730,0.181090,0.378679,0.222900,0.068359,1.231201,0.187487,0.182160,-0.699879,0.000000,0.000000,0.000000"
"123459,0.828880,-0.373095,0.180170,0.375894,0.274536,0.186646,1.207764,-0.021305,0.148072,-0.638093,0.000000,0.000000,0.000000"
"123483,0.830662,-0.370810,0.180119,0.374243,0.241211,0.068604,1.068848,0.482565,-0.004261,-0.317449,0.000000,0.000000,0.000000"
"123509,0.833860,-0.367266,0.179594,0.370863,0.207642,-0.109253,1.037720,0.828776,-0.084156,-0.683900,-27.000000,-25.000000,35.000000"
"123535,0.835686,-0.367649,0.180390,0.365954,0.320068,0.095459,0.902466,0.224771,0.574178,-0.892692,0.000000,0.000000,0.000000"
"123560,0.835569,-0.370614,0.182453,0.362187,0.346191,0.161865,1.067017,-0.302535,0.957673,-0.565655,0.000000,0.000000,0.000000"
"123580,0.835667,-0.371206,0.184437,0.360346,0.339844,0.139038,1.136963,0.034088,0.622114,-0.177899,0.000000,0.000000,0.000000"
"123606,0.835644,-0.371102,0.186515,0.359437,0.312134,0.084961,1.035889,0.095874,0.518784,0.003196,-30.000000,-15.000000,37.000000"
"123632,0.834607,-0.373767,0.188068,0.358273,0.274536,0.021484,1.007324,-0.446346,0.695618,-0.085221,0.000000,0.000000,0.000000"
"123657,0.833304,-0.376309,0.189266,0.358013,0.264526,-0.021240,1.107544,-0.503870,0.570982,0.064981,0.000000,0.000000,0.000000"
"123682,0.830936,-0.378555,0.191758,0.359820,0.244019,0.000854,0.979614,-0.520914,0.648746,0.592287,0.000000,0.000000,0.000000"
"123708,0.829018,-0.382038,0.194056,0.359329,0.480347,-0.019897,0.857788,-0.605070,0.871386,0.135289,-28.000000,-28.000000,35.000000"
"123733,0.830935,-0.377215,0.200559,0.356415,0.010620,0.203491,1.311401,1.425324,0.981108,0.047937,0.000000,0.000000,0.000000"
"123758,0.833750,-0.371346,0.200905,0.355810,0.214111,-0.048340,1.081421,1.160073,-0.306796,-0.019175,0.000000,0.000000,0.000000"
"123783,0.834125,-0.371609,0.200378,0.354951,0.244263,-0.011475,0.912354,-0.092678,0.101200,-0.198139,0.000000,0.000000,0.000000"
"123809,0.834317,-0.371569,0.200809,0.354300,0.232056,-0.028687,0.907959,-0.004261,0.236489,-0.070307,-29.000000,-21.000000,32.000000"
"123830,0.834678,-0.371111,0.201734,0.353403,0.268188,0.020020,0.960205,0.128897,0.294013,-0.069242,0.000000,0.000000,0.000000"
"123853,0.834625,-0.371026,0.202174,0.353365,0.296387,0.082520,1.017456,-0.036219,0.189617,0.046872,0.000000,0.000000,0.000000"
"123878,0.834230,-0.370751,0.203728,0.353694,0.274780,0.067871,0.834473,0.036219,0.349407,0.224771,0.000000,0.000000,0.000000"
"123904,0.833238,-0.371101,0.206419,0.354104,0.293091,0.020874,0.872925,-0.035154,0.611462,0.346211,-28.000000,-30.000000,35.000000"
"123932,0.833486,-0.369531,0.201957,0.357717,0.446533,-0.039795,1.226929,-0.251402,-1.008805,0.346211,0.000000,0.000000,0.000000"
"123957,0.839056,-0.359998,0.183203,0.364449,0.269775,-0.032227,0.841431,0.318514,-4.404868,-0.250337,0.000000,0.000000,0.000000"
"123982,0.845027,-0.351405,0.159279,0.370236,0.111938,0.033447,0.926270,-0.173638,-5.156945,-0.864995,0.000000,0.000000,0.000000"
