t_ms,qw,qx,qy,qz,ax_mps2,ay_mps2,az_mps2,gx_deg,gy_deg,gz_deg,roll_deg,pitch_deg,yaw_deg,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
106795,0.844541,-0.062824,0.058584,0.528556,-0.871787,-0.779579,9.777668,0.122070,0.122070,0.061035,-2.567803,9.518490,63.866970,0.750452,-0.346126,0.112442
106856,0.844624,-0.062702,0.057607,0.528545,-0.864602,-0.789159,9.801618,-0.061035,0.061035,0.000000,-2.615864,9.415576,63.859127,0.740256,-0.347467,0.133866
106918,0.844196,-0.062809,0.058099,0.529162,-0.865800,-0.790356,9.781260,-0.122070,0.122070,-0.061035,-2.589174,9.472009,63.946316,0.748590,-0.353239,0.114885
107006,0.843760,-0.062907,0.058553,0.529796,-0.856220,-0.791554,9.782457,0.000000,0.122070,-0.061035,-2.563785,9.524290,64.035690,0.766999,-0.358786,0.117366
107083,0.843323,-0.062998,0.059038,0.530425,-0.857417,-0.789159,9.786050,0.000000,0.061035,0.061035,-2.535725,9.579059,64.124855,0.775049,-0.361193,0.122304
107156,0.843407,-0.062886,0.058069,0.530414,-0.863405,-0.791554,9.774076,-0.061035,0.183105,0.000000,-2.584465,9.477671,64.116814,0.751942,-0.355238,0.107826
107239,0.842975,-0.062987,0.058563,0.531034,-0.869392,-0.783171,9.784853,-0.061035,0.122070,0.000000,-2.556884,9.533823,64.204674,0.755436,-0.351580,0.119981
107333,0.842571,-0.063080,0.059156,0.531597,-0.868195,-0.786764,9.790840,-0.061035,0.122070,-0.061035,-2.522958,9.599056,64.285683,0.767648,-0.360977,0.127568
107425,0.842135,-0.063196,0.059615,0.532222,-0.862207,-0.781974,9.790840,-0.122070,0.122070,0.000000,-2.498874,9.652715,64.374016,0.782693,-0.360316,0.128926
107513,0.841703,-0.063297,0.060108,0.532838,-0.863405,-0.777184,9.804013,-0.061035,0.122070,0.000000,-2.471110,9.708805,64.461655,0.790962,-0.360277,0.143506
107612,0.841273,-0.063390,0.060626,0.533448,-0.865800,-0.783171,9.794433,-0.061035,0.122070,0.000000,-2.441127,9.766714,64.548668,0.798339,-0.371392,0.135386
107695,0.840875,-0.063491,0.061216,0.533995,-0.861010,-0.785566,9.781260,0.000000,0.000000,-0.061035,-2.408034,9.831842,64.627731,0.814118,-0.379445,0.123873
107777,0.840426,-0.063582,0.061640,0.534641,-0.859812,-0.779579,9.788445,0.000000,0.061035,0.000000,-2.382970,9.880573,64.719337,0.823536,-0.377742,0.132310
107867,0.840512,-0.063461,0.060666,0.534633,-0.868195,-0.783171,9.790840,-0.122070,0.122070,0.000000,-2.431718,9.778398,64.711189,0.797916,-0.372992,0.132065
107962,0.840103,-0.063583,0.061225,0.535197,-0.856220,-0.780776,9.786050,-0.061035,0.122070,0.000000,-2.402272,9.841860,64.792351,0.820598,-0.375639,0.128915
108031,0.839675,-0.063701,0.061713,0.535798,-0.859812,-0.797542,9.789642,-0.061035,0.061035,0.000000,-2.376295,9.898225,64.878189,0.826513,-0.396851,0.133980
108101,0.839231,-0.063794,0.062175,0.536429,-0.851429,-0.785566,9.787248,0.000000,0.061035,0.061035,-2.349088,9.950711,64.968124,0.843748,-0.389524,0.132945
108175,0.838793,-0.063894,0.062669,0.537045,-0.863405,-0.787961,9.793235,-0.122070,0.061035,0.061035,-2.320548,10.006551,65.056374,0.841189,-0.396796,0.140388
108269,0.838880,-0.063766,0.061692,0.537037,-0.862207,-0.783171,9.783655,-0.122070,0.061035,0.000000,-2.369205,9.903761,65.048149,0.825052,-0.383683,0.128103
108351,0.838435,-0.063859,0.062170,0.537665,-0.864602,-0.784369,9.789642,-0.122070,0.061035,0.061035,-2.340877,9.957713,65.137939,0.831756,-0.389719,0.135486
108438,0.837996,-0.063971,0.062653,0.538280,-0.862207,-0.786764,9.801618,-0.122070,0.244141,-0.061035,-2.314218,10.013147,65.225853,0.843498,-0.396672,0.148923
108524,0.837568,-0.064065,0.063174,0.538873,-0.853824,-0.779579,9.794433,0.000000,0.122070,-0.061035,-2.283566,10.071122,65.311447,0.861655,-0.394721,0.143261
108608,0.837128,-0.064172,0.063649,0.539487,-0.859812,-0.778381,9.794433,-0.122070,0.183105,-0.061035,-2.256784,10.125536,65.399544,0.864840,-0.398099,0.144715
108695,0.836697,-0.064291,0.064133,0.540085,-0.853824,-0.785566,9.801618,-0.122070,0.122070,-0.061035,-2.230683,10.181414,65.485397,0.880245,-0.409745,0.153413
108771,0.836271,-0.064396,0.064646,0.540670,-0.862207,-0.781974,9.787248,-0.061035,0.061035,-0.061035,-2.201446,10.239201,65.570129,0.881600,-0.411143,0.140603
108850,0.836360,-0.064269,0.063676,0.540664,-0.865800,-0.786764,9.792038,-0.061035,0.122070,0.000000,-2.250149,10.137363,65.561569,0.860846,-0.407613,0.142631
108933,0.835908,-0.064360,0.064136,0.541296,-0.864602,-0.786764,9.777668,-0.061035,0.061035,0.061035,-2.222281,10.189136,65.652397,0.870768,-0.412367,0.129641
109009,0.835449,-0.064464,0.064494,0.541951,-0.857417,-0.778381,9.790840,-0.061035,0.061035,0.000000,-2.201725,10.232096,65.745338,0.885192,-0.407496,0.143983
109087,0.835009,-0.064582,0.064942,0.542560,-0.863405,-0.778381,9.792038,-0.061035,0.122070,-0.061035,-2.177345,10.284382,65.832802,0.888014,-0.411661,0.146617
109188,0.834558,-0.064680,0.065370,0.543191,-0.868195,-0.771196,9.786050,-0.061035,0.122070,-0.061035,-2.151941,10.333515,65.923470,0.891501,-0.408809,0.141972
109277,0.834134,-0.064753,0.065948,0.543763,-0.861010,-0.787961,9.784853,-0.061035,0.061035,0.000000,-2.115362,10.395328,66.007286,0.909096,-0.431802,0.142447
109355,0.834225,-0.064618,0.064982,0.543757,-0.866997,-0.784369,9.790840,0.000000,0.122070,0.000000,-2.163535,10.293572,65.998596,0.885970,-0.419984,0.145611
109454,0.833795,-0.064714,0.065526,0.544339,-0.863405,-0.783171,9.793235,0.000000,0.183105,0.000000,-2.131086,10.353642,66.083542,0.899681,-0.424318,0.149644
109518,0.833343,-0.064810,0.065972,0.544965,-0.857417,-0.779579,9.781260,0.000000,0.122070,0.000000,-2.104128,10.404284,66.173866,0.914197,-0.425320,0.139063
109609,0.832890,-0.064896,0.066440,0.545590,-0.869392,-0.790356,9.781260,0.000000,0.061035,0.061035,-2.074935,10.456412,66.264297,0.911000,-0.441069,0.140498
109704,0.832443,-0.064986,0.066895,0.546206,-0.865800,-0.789159,9.800421,0.061035,0.061035,-0.061035,-2.046818,10.507548,66.353401,0.923202,-0.444659,0.161078
109792,0.831991,-0.065076,0.067356,0.546826,-0.862207,-0.777184,9.778865,0.061035,0.061035,0.061035,-2.018195,10.559081,66.443329,0.935469,-0.437557,0.140965
