PLA_total_kg,reserved_mass_kg,chord_m,span_m,wing_area_m2,wing_mass_kg,feasible,total_mass_kg,Vmin_m_s,sink_rate_m_s,glide_ratio
0.8,0.36,0.022,0.82,0.018039999999999997,0.08947839999999999,True,0.44947839999999994,14.591570202558081,0.6228175853657576,23.428320820435722
0.8,0.36,0.022,0.83,0.01826,0.09056959999999999,True,0.45056959999999996,14.477060157632444,0.6141961595687253,23.57074353541694
0.8,0.36,0.022,0.84,0.01848,0.0916608,True,0.4516608,14.364970560339533,0.6058022206267403,23.712310835503498
0.8,0.36,0.022,0.85,0.018699999999999998,0.09275199999999999,True,0.452752,14.255222475427525,0.5976271242483034,23.85303795131081
0.8,0.36,0.024,0.45,0.0108,0.05356800000000001,True,0.413568,21.479538367734822,1.292643392692305,16.616754852239215
0.8,0.36,0.024,0.46,0.011040000000000001,0.054758400000000006,True,0.41475839999999997,21.158753855621292,1.2594218237417543,16.800370977182553
0.8,0.36,0.024,0.47000000000000003,0.01128,0.0559488,True,0.4159488,20.850064811302044,1.2277742605888429,16.982001887954805
0.8,0.36,0.024,0.48,0.011519999999999999,0.0571392,True,0.4171392,20.552773625352334,1.1975946969969584,17.161710616195666
0.8,0.36,0.024,0.49,0.01176,0.058329599999999995,True,0.41832959999999997,20.266236318440153,1.1687862846629138,17.339556927026297
0.8,0.36,0.024,0.5,0.012,0.05952,True,0.41952,19.989857427844534,1.1412603748951373,17.515597551243527
0.8,0.36,0.024,0.51,0.012240000000000001,0.060710400000000005,True,0.4207104,19.723085472351986,1.1149356773718406,17.689886396714673
0.8,0.36,0.024,0.52,0.012480000000000002,0.06190080000000001,True,0.4219008,19.465408920230338,1.089737519702513,17.862474741205748
0.8,0.36,0.024,0.53,0.01272,0.0630912,True,0.4230912,19.216352596020872,1.0655971940427627,18.033411408598095
0.8,0.36,0.024,0.54,0.012960000000000001,0.06428160000000001,True,0.4242816,18.97547447113756,1.042451379107565,18.20274293020968
0.8,0.36,0.024,0.55,0.013200000000000002,0.06547200000000002,True,0.425472,18.742362791034846,1.0202416276715396,18.370513692731652
0.8,0.36,0.024,0.56,0.013440000000000002,0.06666240000000001,True,0.4266624,18.516633498260614,0.998913911101224,18.536766074112915
0.8,0.36,0.024,0.57,0.01368,0.06785279999999999,True,0.4278528,18.29792791625702,0.9784182136848779,18.701540568571517
0.8,0.36,0.024,0.58,0.01392,0.0690432,True,0.42904319999999996,18.085910663479456,0.958708170551775,18.864875901777587
0.8,0.36,0.024,0.59,0.014159999999999999,0.0702336,True,0.4302336,17.880267771411216,0.9397407438387959,19.026809137136244
0.8,0.36,0.024,0.6,0.0144,0.071424,True,0.431424,17.680704983473294,0.9214759324948827,19.18737577399666
0.8,0.36,0.024,0.61,0.01464,0.0726144,True,0.43261439999999995,17.486946214758145,0.9038765117357499,19.34660983852459
0.8,0.36,0.024,0.62,0.01488,0.0738048,True,0.4338048,17.29873215503165,0.8869077986905914,19.504543967897305
0.8,0.36,0.024,0.63,0.01512,0.0749952,True,0.43499519999999997,17.11581899961235,0.8705374412342756,19.661209488410975
0.8,0.36,0.024,0.64,0.01536,0.0761856,True,0.4361856,16.93797729460552,0.8547352273851647,19.816636488030053
0.8,0.36,0.024,0.6499999999999999,0.015599999999999998,0.07737599999999999,True,0.437376,16.764990884585682,0.8394729129804203,19.970853883854506
0.8,0.36,0.024,0.6599999999999999,0.01584,0.07856640000000001,True,0.4385664,16.59665595222279,0.8247240656260142,20.1238894849333
0.8,0.36,0.024,0.6699999999999999,0.016079999999999997,0.07975679999999999,True,0.43975679999999995,16.432780140565352,0.8104639231646995,20.275770050810692
0.8,0.36,0.024,0.6799999999999999,0.016319999999999998,0.0809472,True,0.4409472,16.273181749754436,0.7966692651178338,20.42652134615423
0.8,0.36,0.024,0.69,0.01656,0.08213759999999999,True,0.44213759999999996,16.11768900086894,0.7833182957411612,20.576168191780432
0.8,0.36,0.024,0.7,0.0168,0.08332799999999999,True,0.44332799999999994,15.966139360412386,0.7703905374945639,20.72473451236419
0.8,0.36,0.024,0.71,0.01704,0.0845184,True,0.4445184,15.818378919661553,0.7578667338649184,20.8722433810916
0.8,0.36,0.024,0.72,0.01728,0.0857088,True,0.4457088,15.674261823720794,0.7457287606024797,21.01871706149223
0.8,0.36,0.024,0.73,0.01752,0.08689920000000001,True,0.4468992,15.53364974567462,0.7339595445371655,21.164177046665603
0.8,0.36,0.024,0.74,0.01776,0.08808960000000002,True,0.4480896,15.396411401714673,0.7225429892338582,21.30864409609747
0.8,0.36,0.024,0.75,0.018000000000000002,0.08928000000000003,True,0.44928,15.26242210354433,0.7114639068271451,21.452138270244586
0.8,0.36,0.024,0.76,0.01824,0.09047039999999999,True,0.4504704,15.13156334474202,0.7007079554473822,21.594678963050942
0.8,0.36,0.024,0.77,0.01848,0.0916608,True,0.4516608,15.003722418099077,0.6902615817128251,21.736284932544876
0.8,0.36,0.024,0.78,0.01872,0.0928512,True,0.4528512,14.87879206124519,0.6801119678180296,21.876974329653542
0.8,0.36,0.024,0.79,0.01896,0.0940416,True,0.4540416,14.756670128138579,0.6702469827976597,22.01676472536014
0.8,0.36,0.024,0.7999999999999999,0.0192,0.095232,True,0.45523199999999997,14.637259284233354,0.6606551375881717,22.155673136318946
0.8,0.36,0.024,0.8099999999999999,0.01944,0.0964224,True,0.4564224,14.520466723346196,0.6513255435482009,22.29371604903381
0.8,0.36,0.024,0.82,0.01968,0.0976128,True,0.4576128,14.406203904431923,0.6422478741325408,22.430909442697374
0.8,0.36,0.024,0.83,0.01992,0.0988032,True,0.45880319999999997,14.29438630664488,0.6334123294448588,22.567268810780647
0.8,0.36,0.024,0.84,0.02016,0.0999936,True,0.4599936,14.1849332012134,0.6248096034212474,22.702809181455397
0.8,0.36,0.024,0.85,0.0204,0.10118400000000001,True,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684
0.8,0.36,0.026000000000000002,0.45,0.011700000000000002,0.05803200000000001,True,0.418032,21.167312279510593,1.3258688192779517,15.96486166032473
0.8,0.36,0.026000000000000002,0.46,0.011960000000000002,0.05932160000000001,True,0.4193216,20.853337960306007,1.2919263707421214,16.141274326900863
